session_id,endtime,gender,age,residence,ethnicity,ethnicity_rec,device
157484,2025-05-06T18:17:07Z,female,25,PT,white,White,laptop
157487,2025-05-06T18:04:26Z,male,22,ZA,black,Black,laptop
157488,2025-05-06T18:04:20Z,female,22,KE,black,Black,phone
157490,2025-05-06T18:06:35Z,female,24,ES,white,White,laptop
157491,2025-05-06T18:05:24Z,female,43,GB,white british,White,laptop
157492,2025-05-06T18:13:26Z,male,36,US,caicasoan,White,laptop
157494,2025-05-06T18:04:26Z,male,57,IT,caucasian,White,desktop
157495,2025-05-06T18:06:56Z,male,40,US,black,Black,laptop
157497,2025-05-06T18:03:22Z,male,41,GB,black,Black,laptop
157498,2025-05-06T18:14:53Z,female,24,ZA,black african,Black,desktop
157499,2025-05-06T18:05:29Z,male,32,CA,south asian,Asian,laptop
157500,2025-05-06T18:08:19Z,male,34,GB,white,White,laptop
157501,2025-05-06T18:09:49Z,female,30,ZA,black,Black,phone
157502,2025-05-06T18:09:09Z,male,29,US,white,White,laptop
157504,2025-05-06T18:29:32Z,female,64,ZA,black,Black,laptop
157505,2025-05-06T18:11:42Z,male,28,ZA,black,Black,laptop
157506,2025-05-06T18:12:22Z,female,24,ZA,black,Black,phone
157507,2025-05-06T18:10:11Z,female,36,ZA,black,Black,phone
157509,2025-05-06T18:15:36Z,male,36,ZA,black,Black,phone
157510,2025-05-06T18:09:40Z,female,38,ZA,black,Black,phone
157511,2025-05-06T18:16:30Z,male,51,GB,white,White,laptop
157513,2025-05-06T18:17:19Z,female,57,US,white,White,laptop
157514,2025-05-06T18:09:41Z,male,41,ZA,black,Black,laptop
157515,2025-05-06T18:22:24Z,female,29,GB,black,Black,laptop
157516,2025-05-06T18:16:56Z,male,34,ZA,black,Black,laptop
157517,2025-05-06T18:13:34Z,female,61,GB,white british,White,laptop
157518,2025-05-06T18:16:48Z,male,36,GB,white british,White,laptop
157520,2025-05-06T18:17:11Z,female,34,PT,white,White,desktop
157522,2025-05-06T18:14:10Z,male,46,ZA,african,Black,laptop
157523,2025-05-06T18:09:17Z,male,51,ZA,black,Black,laptop
157524,2025-05-06T18:17:35Z,male,43,ZA,black,Black,desktop
157525,2025-05-06T18:10:46Z,male,23,CA,asian,Asian,desktop
157526,2025-05-06T18:14:21Z,male,44,US,white,White,laptop
157527,2025-05-06T18:15:27Z,female,38,ZA,black african,Black,phone
157528,2025-05-06T18:18:41Z,male,36,US,white,White,laptop
157529,2025-05-06T18:14:35Z,male,32,NL,white,White,tablet
157530,2025-05-06T18:18:08Z,female,62,US,white,White,phone
157531,2025-05-06T18:16:45Z,male,23,GR,greek,White,desktop
157533,2025-05-06T18:17:09Z,male,18,ZA,black,Black,phone
157535,2025-05-06T18:14:15Z,male,41,US,white,White,laptop
157536,2025-05-06T18:19:22Z,male,44,US,white,White,laptop
157537,2025-05-06T18:27:34Z,male,34,CA,white,White,desktop
157538,2025-05-06T18:19:55Z,male,28,ZA,black,Black,phone
